Name,Description,Link
Startup India Initiative,Launched in 2016 to promote startups and innovation in India.,https://www.startupindia.gov.in/
Pradhan Mantri Mudra Yojana (PMMY),Provides loans to micro and small enterprises without collateral.,https://www.mudra.org.in/
Stand-Up India Scheme,Supports women and SC/ST entrepreneurs with bank loans.,https://www.standupmitra.in/
Atal Innovation Mission (AIM),Encourages innovation through tinkering labs and incubators.,https://aim.gov.in/
Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE),Helps small businesses get loans without collateral.,https://www.cgtmse.in/
Software Technology Parks of India (STPI),Supports IT startups with infrastructure and tax benefits.,https://www.stpi.in/
Multiplier Grants Scheme (MGS),Encourages industry-academia collaboration for tech innovation.,https://www.meity.gov.in/content/multiplier-grants-scheme
Dairy Processing and Infrastructure Development Fund (DIDF),Funds dairy startups to improve milk processing infrastructure.,https://www.nddb.coop/didf
National Skill Development Mission,Provides vocational training and skill development for entrepreneurs.,https://www.skilldevelopment.gov.in/
E-Biz Portal,A one-stop platform for business registrations and approvals.,https://www.ebiz.gov.in/
Single Point Registration Scheme (SPRS),Enables small enterprises to participate in government tenders.,https://www.nsic.co.in/
National Manufacturing Competitiveness Programme (NMCP),Enhances MSME competitiveness through various initiatives.,https://www.dcmsme.gov.in/schemes/nmcp_schemes.htm
Zero Defect Zero Effect (ZED) Scheme,Promotes quality manufacturing with minimal environmental impact.,https://www.zed.org.in/
Digital India,Encourages digital transformation and innovation in startups.,https://www.digitalindia.gov.in/
Make in India,Promotes domestic manufacturing and supports industrial startups.,https://www.makeinindia.com/
Support for International Patent Protection (SIP-EIT),Funds MSMEs and startups for international patent filing.,https://www.meity.gov.in/content/support-international-patent-protection-electronics-information-technology
NewGen Innovation and Entrepreneurship Development Centre,Supports tech-driven startups with mentorship and funding.,https://www.nstedb.com/
Biotechnology Ignition Grant (BIG),Provides financial assistance to biotech startups.,https://www.birac.nic.in/
TIDE 2.0,"Encourages deep-tech startups in AI, IoT, and cybersecurity.",https://www.meity.gov.in/
ASPIRE Scheme,Funds rural startups in agri-business and innovation.,https://www.msme.gov.in/
Startup Leadership Program,Offers mentorship and networking for startup founders.,https://www.startupleadership.com/
Women Entrepreneurship Platform (WEP),Promotes women-led startups with resources and funding.,https://wep.gov.in/
SAMRIDH Scheme,Provides early-stage funding for deep-tech startups.,https://www.meity.gov.in/
MSME Champions Scheme,Supports micro and small businesses with funding and incubation.,https://champions.gov.in/
NIDHI PRAYAS,Grants for idea-stage startups to develop prototypes.,https://www.nidhi-eir.in/
Seed Fund Scheme,Provides seed capital to early-stage startups.,https://seedfund.startupindia.gov.in/
PMEGP,Prime Ministerâ€™s employment generation program for startups.,https://www.kviconline.gov.in/
Mahatma Gandhi National Rural Employment Guarantee Act,Supports rural startups with employment generation schemes.,https://nrega.nic.in/
Export Promotion Capital Goods (EPCG) Scheme,Provides tax benefits for startups in the export industry.,https://www.dgft.gov.in/
Credit Linked Capital Subsidy Scheme (CLCSS),Supports MSMEs with technology upgradation.,https://www.dcmsme.gov.in/schemes/clcss.htm
Trade Related Entrepreneurship Assistance and Development (TREAD),Provides financial aid for women entrepreneurs.,https://www.msme.gov.in/
Fund of Funds for Startups (FFS),Provides equity funding to startups via VC firms.,https://www.startupindia.gov.in/
Production Linked Incentive (PLI) Scheme,Encourages manufacturing startups with cash incentives.,https://www.makeinindia.com/
Design Clinic Scheme for MSMEs,Helps MSMEs adopt innovative designs for products.,https://www.dcmsme.gov.in/
Incubation Support under MSME,Provides incubation support for early-stage startups.,https://www.msme.gov.in/
Skill India Program,Enhances skill development for aspiring entrepreneurs.,https://www.skilldevelopment.gov.in/
Self-Employment and Talent Utilization (SETU),Promotes entrepreneurship and self-employment.,https://www.niti.gov.in/
Electronic Development Fund (EDF),Invests in early-stage startups in electronics and IT.,https://www.meity.gov.in/
Technology Business Incubator (TBI),Provides incubation and mentorship for tech startups.,https://www.nstedb.com/
Standup India for SC/ST Entrepreneurs,Supports SC/ST entrepreneurs with loans and guidance.,https://www.standupmitra.in/
Modified Special Incentive Package Scheme (M-SIPS),Encourages electronics manufacturing startups.,https://www.meity.gov.in/
Small Business Innovation Research Initiative (SBIRI),Funds biotech startups for research and commercialization.,https://www.birac.nic.in/
International Cooperation (IC) Scheme,Supports startups in international trade fairs and expos.,https://www.dcmsme.gov.in/
Startup India Investor Connect,Brings startups and investors together for funding.,https://www.startupindia.gov.in/
Agri Udaan Accelerator Program,Accelerator program for agritech startups.,https://www.iari.res.in/
India Aspiration Fund (IAF),Funds startups through venture capital firms.,https://www.sidbi.in/
Solar Energy Startup Support,Grants for solar energy-based startups.,https://www.mnre.gov.in/
Credit Enhancement Guarantee Scheme,Credit support for infrastructure startups.,https://www.nabard.org/
Bank Credit Facilitation Scheme,Provides easy credit access for MSMEs.,https://www.nsic.co.in/
